"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Shropshire","E06000051","Upper tier local authority","2020-04-15",0,287
"Slough","E06000039","Upper tier local authority","2020-04-15",0,262
"Solihull","E08000029","Upper tier local authority","2020-04-15",0,372
"Somerset","E10000027","Upper tier local authority","2020-04-15",0,248
"South Gloucestershire","E06000025","Upper tier local authority","2020-04-15",0,223
"South Tyneside","E08000023","Upper tier local authority","2020-04-15",0,251
"Southampton","E06000045","Upper tier local authority","2020-04-15",3,301
"Southend-on-Sea","E06000033","Upper tier local authority","2020-04-15",0,229
"Southwark","E09000028","Upper tier local authority","2020-04-15",0,1001
"St. Helens","E08000013","Upper tier local authority","2020-04-15",1,407
"Staffordshire","E10000028","Upper tier local authority","2020-04-15",6,1051
"Stockport","E08000007","Upper tier local authority","2020-04-15",6,549
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-15",0,217
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-15",3,240
"Suffolk","E10000029","Upper tier local authority","2020-04-15",0,527
"Sunderland","E08000024","Upper tier local authority","2020-04-15",0,729
"Surrey","E10000030","Upper tier local authority","2020-04-15",0,1739
"Sutton","E09000029","Upper tier local authority","2020-04-15",0,500
"Swindon","E06000030","Upper tier local authority","2020-04-15",0,200
"Tameside","E08000008","Upper tier local authority","2020-04-15",0,320
"Telford and Wrekin","E06000020","Upper tier local authority","2020-04-15",0,143
"Thurrock","E06000034","Upper tier local authority","2020-04-15",0,207
"Torbay","E06000027","Upper tier local authority","2020-04-15",0,107
"Tower Hamlets","E09000030","Upper tier local authority","2020-04-15",1,517
"Trafford","E08000009","Upper tier local authority","2020-04-15",0,402
"Wakefield","E08000036","Upper tier local authority","2020-04-15",0,344
"Walsall","E08000030","Upper tier local authority","2020-04-15",0,609
"Waltham Forest","E09000031","Upper tier local authority","2020-04-15",3,586
"Wandsworth","E09000032","Upper tier local authority","2020-04-15",0,766
"Warrington","E06000007","Upper tier local authority","2020-04-15",0,372
"Warwickshire","E10000031","Upper tier local authority","2020-04-15",0,742
"West Berkshire","E06000037","Upper tier local authority","2020-04-15",2,186
"West Sussex","E10000032","Upper tier local authority","2020-04-15",0,679
"Westminster","E09000033","Upper tier local authority","2020-04-15",0,510
"Wigan","E08000010","Upper tier local authority","2020-04-15",0,354
"Wiltshire","E06000054","Upper tier local authority","2020-04-15",0,271
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-15",0,163
"Wirral","E08000015","Upper tier local authority","2020-04-15",0,623
"Wokingham","E06000041","Upper tier local authority","2020-04-15",0,201
"Wolverhampton","E08000031","Upper tier local authority","2020-04-15",0,501
"Worcestershire","E10000034","Upper tier local authority","2020-04-15",0,718
"York","E06000014","Upper tier local authority","2020-04-15",0,153
"England","E92000001","Country","2020-04-14",931,79375
"West Midlands","E12000005","Region","2020-04-14",75,8335
"East of England","E12000006","Region","2020-04-14",18,6498
"North West","E12000002","Region","2020-04-14",100,12085
"East Midlands","E12000004","Region","2020-04-14",89,4608
"South West","E12000009","Region","2020-04-14",50,3906
"London","E12000007","Region","2020-04-14",163,19493
"Yorkshire and The Humber","E12000003","Region","2020-04-14",147,5902
"North East","E12000001","Region","2020-04-14",60,4694
"South East","E12000008","Region","2020-04-14",133,10897
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-14",6,351
"Barnet","E09000003","Upper tier local authority","2020-04-14",6,1000
"Barnsley","E08000016","Upper tier local authority","2020-04-14",18,414
"Bedford","E06000055","Upper tier local authority","2020-04-14",1,244
"Bexley","E09000004","Upper tier local authority","2020-04-14",16,462
"Birmingham","E08000025","Upper tier local authority","2020-04-14",4,1982
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-14",1,188
"Blackpool","E06000009","Upper tier local authority","2020-04-14",2,190
"Bolton","E08000001","Upper tier local authority","2020-04-14",4,447
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-14",1,139
"Bradford","E08000032","Upper tier local authority","2020-04-14",3,460
"Brent","E09000005","Upper tier local authority","2020-04-14",8,1086
"Bristol, City of","E06000023","Upper tier local authority","2020-04-14",2,374
"Bromley","E09000006","Upper tier local authority","2020-04-14",5,814
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-14",1,542
"Calderdale","E08000033","Upper tier local authority","2020-04-14",7,163
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-14",2,441
"Camden","E09000007","Upper tier local authority","2020-04-14",5,455
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-14",1,309
"Cheshire East","E06000049","Upper tier local authority","2020-04-14",3,477
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-14",8,349
"County Durham","E06000047","Upper tier local authority","2020-04-14",10,770
"Coventry","E08000026","Upper tier local authority","2020-04-14",3,459
"Croydon","E09000008","Upper tier local authority","2020-04-14",3,1050
"Cumbria","E10000006","Upper tier local authority","2020-04-14",21,1345
"Darlington","E06000005","Upper tier local authority","2020-04-14",4,157
"Derby","E06000015","Upper tier local authority","2020-04-14",1,379
"Derbyshire","E10000007","Upper tier local authority","2020-04-14",7,802
"Devon","E10000008","Upper tier local authority","2020-04-14",18,456
"Doncaster","E08000017","Upper tier local authority","2020-04-14",3,239
"Dudley","E08000027","Upper tier local authority","2020-04-14",2,490
"Ealing","E09000009","Upper tier local authority","2020-04-14",5,802
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-04-14",14,271
"East Sussex","E10000011","Upper tier local authority","2020-04-14",10,377
